,eng_reference,thai_reference,trimmed_segment_path
41,"At first, we're just trying to hold our breath, we're trying to focus, we're trying to, uh,",ตอนแรกก็คิดไปเรื่อย เราพยายามกด ๆ ให้ลมหายใจเราอยู่ตรงนี้นะ เราต้องมาโฟกัสอยู่ตรงนี้นะ เราก็พยายาม หืม เพ่ง แบบต้องอยู่ตรงนี้ตลอดเลย สักพักก็ เอ้ย เดี๋ยวไปคิดเรื่องนั้น เรื่องนี้ อ๊ะ ไปอยู่กับน้ำหน่อย ได้ยินเสียงน้ำ เราก็วนกลับมา,combined_wav/combined_output_42.wav
42,"Trying to get back to the focus, but at least it's good that we know the point, uh, where to go back",พยายามกลับมาโฟกัสที่เดิม แต่อย่างน้อยมันก็ดีที่ว่าเรา เรารู้จุดแล้วว่า อ่อ ตรงไหนควรกลับมา ตรงไหน อ่าาา วิทญ์ ควรจะกลับมาตอนไหน ใช่เนี้ย ของมันเลย อย่างน้อยเราก็รู้แล้วว่า จะต้องกลับมาที่จุดไหน นี้คือ ของมันเลย วิทญ์ พี่ก๊อตเนี่ย พยายามจะให้เรา ใช้สมาธิจดจ่ออยู่กับที่,combined_wav/combined_output_43.wav
44,"It's a little bit small, but enough with the Gott Puppy, the Gott makes us feel that we can get back",มันค่อนข้างน้อย แต่พอไปกับพี่ก๊อตปุ๊บ พี่ก๊อตก็ทำให้เรารู้สึกว่า เราสามารถกลับมาอยู่กับตัวเองได้ง่ายมากขึ้น แค่นั้นเองนะครับผม แล้วให้เอาวิธีนี้ไปใช้ตลอดทั้งวันเลยนะ ก่อนจะเริ่มงาน ก่อนจะทำงาน ก่อนจะจดจ่อสิ่งใด อะขอ 1 นาที กลับมาจดจ่อที่ลมหายใจ,combined_wav/combined_output_45.wav
51,"When we didn't find a way to focus on the current breath, what's behind it, we were pulled over, 10 years ago, some people couldn't let go.",พอเราไม่เจอวิธีการจดจ่อที่ลมหายใจปัจจุบันขณะ สิ่งที่ตามมาคืออะไร เราก็โดนอดีตดึงเราไปตีซ้ำ เหตุการณ์มันผ่านมาแล้ว 10 ปี บางคนปล่อยไม่ได้ โห ถึงขั้นแบบ ชาติหน้ากูก็ไม่ยอม เสียงหัวเราะ บางคนยึดแบบขนาดนั้นไง,combined_wav/combined_output_52.wav
52,"But if people go this way, they'll know, uh, we're running after what's dead, and at the same",แต่ถ้าคนได้วิธีนี้ไป จะรู้ว่า อ่อ เรากำลังวิ่งตามสิ่งที่ตายไปแล้ว ในขณะเดียวกัน บางคนเป็นทุกข์กับอนาคตที่ยังไม่เกิด ไม่ว่าจะไปทุกข์กับอดีต หรืออนาคตที่ยังไม่เกิด สามารถกลับหายจากวงจรนี้ได้ ด้วยการกลับมาที่,combined_wav/combined_output_53.wav
53,"Now, we have leg pain, we have leg pain, we're being carried away by thoughts of the past, we don't",นี่ปัจจุบัน เราปวดขา เราเจ็บขา เราโดนความคิดในอดีตลากจูงไป ให้เราไม่ชอบ ไม่ชอบ ไม่ชอบ แต่สุดท้ายพอเรากลับมาอยู่ที่ปัจจุบัน เราจะพบว่าปัจจุบันมันไม่มีอะไรนี่หว่า เราผ่านเรื่องนั้นมาเรียบร้อยแล้ว ใจมันจะค่อย ๆ สอนใจ,combined_wav/combined_output_54.wav
54,"Little by little, little by little, little by little. Oh, before you were like this, you'd be buried in a body. Oh, that's what you think.",ไปทีละนิด ทีละนิด ทีละนิด ทีละนิด โอ้ยเมื่อก่อนพี่เป็นแบบนี้ แค้นฝังหุ่นเลย โอ๊ยไอ้นี่มึงว่ากูไว้ หืมมม พอไปเจอเขานะ ก็ยังแบกความคิดนั้นอยู่ ไม่ได้มองเขาคนนั้นด้วยสายตาของปัจจุบัน ตัวเราเนี่ยยังเปลี่ยนไปทุกวัน,combined_wav/combined_output_55.wav
55,"Why can't people who do us bad things change, but with our unfamiliarity with the present, we judge them by their",ทำไมคนที่ทำไม่ดีกับเราถึงจะเปลี่ยนไม่ได้ แต่ด้วยความที่เราไม่คุ้นชินกับการอยู่กับปัจจุบัน เราจึงตัดสินเขาด้วยภาพในอดีต ในขณะเดียวกัน บางคนที่เราชอบ ชอบมาก โอ้โหคนนี้มันดี มันดี มันดี ปัจจุบันอาจจะเลวก็ได้ เรายังเปลี่ยนแปลงอยู่ตลอดเวลา เพราะฉะนั้นเราต้องฝึกตัวเอง,combined_wav/combined_output_56.wav
62,"If we're too tired, we're too tired, and we don't have to go and interpret it as a cough",ถ้าเราง่วงจนเกินไป ฟุ้งซ่านจนเกินไป แล้วก็ไม่ต้องไปตีความว่า หงุดหงิด เพราะว่านั่งนาน เพราะเวลามันช่างมัน ก็แค่รู้ตัวว่า หงุดหงิด แล้วก็ดูสิว่าความหงุดหงิดนี้ มันส่งผลต่อลมหายใจไงบ้าง แค่นั้นเอง กลับมารู้ตัว อาร์ม เรารู้สึกดีมาก ที่เราตัดสินใจ,combined_wav/combined_output_63.wav
64,"Well, coming in today, it's filling us up, and it's actually technically going home. Okay, so",เออ การมาวันนี้ มันทำมันทำให้เราเติมเต็ม แล้วมันเทคนิคกลับบ้านไปจริง ๆ โอเค สรุปก็คือ แต่ละคนเนี่ย เมื่อกี้เท่าที่ฟัง ได้มาเรื่องนึงแน่ ๆ เรื่อง การกลับมารู้ตัว แล้วก็การรู้ว่า ขณะนี้ฉันกำลังคิดอยู่ ซึ่งนี่คือ เลยนะ,combined_wav/combined_output_65.wav
65,"Most people think, unknowingly, now that we're smart, know that I'm thinking, keep working out for",คนส่วนใหญ่คิด ไม่รู้ว่าคิด ตอนนี้เราได้เคล็ดลับไปแล้วนะ รู้ตัวว่าฉันกำลังคิด ไปฝึกเรื่อยๆ 15 นาทีทุกเช้า ทันทีตื่น ทำสมาธิก่อน อย่าเพิ่งจับโทรศัพท์ อย่าเพิ่งอ่านหนังสือ อย่าเพิ่งทำอะไรทั้งนั้น ล้างหน้า ล้างตา เรียกความสดชื่น 15 นาที ตอนเช้า,combined_wav/combined_output_66.wav
67,"Well, we forgot to do one thing, after every meditation, send a great deal of pleasure, create an atmosphere in our room, after our calmness, send out our best wishes, thank you for the work we've done with our colleagues.",เอ้ย เมื่อกี้เราลืมทำอย่างนึง หลังจากเสร็จการทำสมาธิทุกครั้ง ส่งความปรารถนาดี สร้างบรรยากาศในห้องของเรา หลังจากที่ใจเราสงบนิ่งแล้วเนี่ย ส่งความปรารถนาดีไป รู้สึกขอบคุณ งานที่เราได้ทำ เพื่อนร่วมงานที่ทำงานกับเรา,combined_wav/combined_output_68.wav
71,"Captain, why did he choose us, and we felt like, uh, we'd have a problem, yeah, we'd be",กัปตัน ทำไมเขาถึงเลือกเรา เราก็รู้สึกว่า เออ เราก็น่าจะมีปัญหาใช่มะ ใกล้จะม่องแล้วอะไรอย่างเงี้ย ถ้าเราไปแถวสวนสาธารณะ เราก็จะเหมือน อาม่า เขาแข็งแรงกันมากเลยนะ ฮื่อ ฮื่อ ฮื่อ พี่ถึงต้องทำยิมส่วนตัวไว้ที่บ้านไง เพราะพี่ไปเล่นข้างนอก เขาหาว่าพี่บ้า,combined_wav/combined_output_72.wav
74,"So the rumors came from both our friends and his friends that he's changed, meaning he likes men, and then the people we",เสียงหนาหูมาจากทั้งเพื่อนเรา และทั้งเพื่อนเขา ว่าเขาเปลี่ยนไป คือหมายถึงว่าเขาอะชอบผู้ชาย แล้วคิดดูว่าคนที่เราชอบอะ เอาหน้าเข้ามาใกล้ ๆ อะ ทุกคนเคยหูดับปะ เขาพูดอะไร เราอยู่อย่างเนี้ย สวัสดีค่ะ ต้อนรับเข้าสู่ซอฟส้มตู่นะคะ,combined_wav/combined_output_75.wav
81,"And the whole point is, of course, we're going to have to be the ones to break in, because we're the",ที่เล่ามาก็คือแน่นอนว่าเราต้องเป็นคนบุกอยู่แล้ว เพราะว่า เราคือคนตัวเล็ก ๆ ที่เขาอะ มีคนทั้งโรงเรียนชอบ เราคือตัวเท่านี้เลย แล้วเราก็แบบ ฉันจะทําการทํายังไงก็ได้ให้คนเนี้ย มองนี่ให้ได้ อะไรอย่างเงี้ย แล้วคือตอนนั้นเราก็ได้ดูหนังที่ชื่อว่า สิ่งเล็กเล็กที่เรียกว่ารัก ก็คือ,combined_wav/combined_output_82.wav
88,"But when he comes closer to us, we feel like we want to walk into his hand and say we're a couple, but we can't, because we're still shy and still don't want to be friends.",แต่คือพอเขาเอาหน้าเข้ามาใกล้ ๆ เรา เรารู้สึกว่าเราอะ อยากเดินเข้าไปจับมือเขาแล้วบอกว่าเป็นแฟนกันนะ แต่ว่าทําไม่ได้ เพราะว่าตอนนั้นก็ยังเขินอยู่ แล้วก็ยังไม่กล้า ยังแบบอยาก ความเป็นเพื่อนอยู่ ไม่รู้ว่า ทําไม เพราะเขาก็รู้อยู่แล้วว่าเราชอบเขา ฝากไว้สําหรับเด็กยุคนี้นะคะ ถ้าชอบให้บอกว่าชอบ อย่ามาเล่นอะไรแบบ เป็นเพื่อนแหละดีแล้ว,combined_wav/combined_output_89.wav
89,"No, I'd like to tell him that I like to at least let him know that. One life, we have to say what",ไม่ ชอบก็บอกไปเลยว่าชอบ ให้เขารู้ อย่างน้อย ๆ ก็ให้มันรู้ไปเลย ชีวิตหนึ่งเราต้องพูดในสิ่งที่เราคิดนะคะ นี่โมโหเลยเป็นไงล่ะ เราอะ ย้ายมาประกวดร้องเพลงที่กรุงเทพ ฯ ชีวิตมันก็ยุ่งวุ่นวายกับการประกวดนั่นโน่นนี่ เพราะมันต้องออกทีวีทุกอาทิตย์ มันต้องซ้อมเต้น มันต้องซ้อมร้อง ต้องทําโชว์อะไรอย่างเงี้ย ก็กลายเป็นว่าเหมือนมันห่างกันไปแล้ว,combined_wav/combined_output_90.wav
92,"I had to tell him I loved him, at least let him know that his heart was in him, so that day, he bought him a earpiece, and then he walked up, and he gave it to him, and he said, ""I like you, and I'm running out of here with a really embarrassing speed.""",ชีวิตนึงอะ ฉันจะต้องทําการบอกรักเขาให้ได้ อย่างน้อย ๆ ให้เขาได้รู้ว่า ในหัวใจของเราอะมีเขาอยู่ ไหม วันนั้นก็เลย ซื้อหูฟังให้เขา แล้วก็เดินขึ้นไป แล้วก็ยื่นให้เขา แล้วก็บอกว่า กูชอบมึงนะ แล้วก็วิ่งออกมา ด้วยความเร็ว ด้วยความแบบเขินมาก,combined_wav/combined_output_93.wav
97,"And when we went to the contest, we had this hi5 thing going around, and then we just noticed that, uh, the middle of it is turning into a junior, and this guy is kind of cute, and we felt like, uh, it's a couple of levels away.",แล้วตอนที่เราไปประกวดอะ เราก็มีการส่อง Hi5 กันไปมาใช่ปะ เสร็จแล้วเราก็เพิ่งสังเกตว่า เอ๊ะ ตรงกลางแม่งเปลี่ยนคนว่ะ อยู่ดี ๆ อะ มันเปลี่ยนไปเป็นรุ่นน้องคนหนึ่ง ที่คนนี้อะคือดูออก ตี๋ ๆ น่ารัก ๆ อะไรอย่างเงี้ย แล้วเราก็รู้สึกว่า เอ๊ะ มันอายุห่างกันตั้งสองสามระดับชั้นเลยนะเว้ย,combined_wav/combined_output_98.wav
99,"Frankly, we didn't tell him why we broke up the day, and, uh, today we had a surprise, no, but it's been a long time since we've been friends with him on Facebook, and it's kind of like that for our first love.",โดยที่พูดตรง ๆ เรายังไม่ได้บอกเหตุผลเขา ณ วันนั้นที่เลิกกันอะไรเงี้ย เออ แล้วก็ อะวันนี้เรามีเซอร์ไพรส์ด้วย ไม่ แต่มันผ่านมานานแล้ว ๆ ทุกวันนี้ก็ยังเป็นเพื่อนกับเขาในเฟซบุ๊กอยู่อะไรอย่างเงี้ย ก็เป็นประมาณนี้สําหรับรักแรกของเรา ให้อะไรเหรอคะ จริง ๆ มันให้เยอะมากเลยนะ มันให้ความทรงจําที่ดีของเราตั้งแต่เด็กเลยอะ,combined_wav/combined_output_100.wav
102,"Today, he gets to know himself better, and we get to know ourselves better, and it's a lesson for both of us",ในวันนี้เขาก็ได้รู้จักตัวเองมากขึ้น เราเองก็ได้รู้จักตัวเองมากขึ้นอะไรเงี้ย สุดท้ายมันก็จะเป็นบทเรียนของทั้งคู่ ที่พอเรามีความสัมพันธ์ครั้งใหม่ ต่างมีความสัมพันธ์ครั้งใหม่ เราก็จะแบบนําบทเรียนต่าง ๆ มาแบบว่านํามาใช้ในแบบ รักต่อ ๆ ไปหรือการใช้ชีวิตต่อ ๆ ไปได้อะไรอย่างเงี้ย เราเชื่อว่าทุกคนอะ เวลาที่นั่งอยู่กับเพื่อนอะ เรื่องในอดีตที่เราเคยเสียใจอะ,combined_wav/combined_output_103.wav
103,"If we go back now, it'll be a very funny story, and then we'll laugh at what I did, what I did, what I've done, what I've done, what everybody's doing, and it's made us beautiful to this day, and it makes us beautiful, and it makes us hate us.",ถ้าเราย้อนกลับมาเล่าในตอนเนี้ย มันจะเป็นเรื่องที่ขํามาก แล้วเราก็จะขํากับเพื่อนว่า กูทําทําไม ทําอะไรลงไป เนี่ยแหละทุกคนมันให้ความทรงจําที่ดีมาก แล้วมันทําให้เราแบบเป็นคนสวยจนถึงทุกวันนี้ มั่นหน้าละ คนด่าแล้วนะเนี่ย บอกว่ามั่นหน้าเกินไป ขอโทษ ตอนแรกเราไม่กล้าเล่าเลยเพราะว่ามันเด็กมาก เดี๋ยวคนจะแบบ,combined_wav/combined_output_104.wav
104,"She's a slut since 12 years old, and she's very young, but we love her, Odd, and 34-kind green fibers are delicious with every problem I've ever had with my brother.",อีนี่มันแรดตั้งแต่ 12 อะไรอย่างเงี้ย มันเด็กมากเลยอะ แต่เรารักเธอคนเดียวนะพี่อ๊อด เี่ไฟเบอร์จากผักและผลไม้ 34 ชนิดดิ่มง่ายอร่อย ด้วย แก้ทุกปัญหาผมร่วมของผู้ ชายลูกพี่หวัดดีลูกพี่พี่พพี่รี่กับพี่เก,combined_wav/combined_output_105.wav
113,"I was 24 years old, 24 years old, 24 years old, and I didn't have any money, and I didn't have any money, because I had a little bit of money, and I ran out of, like, 34000 years ago, because I didn't have any money in that period.",ที่ผมกลับมาจากอเมริกาเนี่ยตอนนั้นผมอายุ ประมาณ 24 อือื 24 ได้แล้วผมก็ไม่มีตังค์ เลยผมไม่มีตังค์เลยเพราะว่ามีมีตังค์มา สักนิดสักหน่อยแค่แบบ 34 000 มาแล้วก็ มันก็หมดเพราะว่าช่วงระยะเวลานั้นมันก็ ไม่มีงานเข้ามาตังค์ก็หมดหมดไปเรื่อยๆ คราวนี้มันไม่มีตังค์นะทำไงดีป่ะอยากอยาก ดูดวงจังเลยอือแต่ก็ไม่รู้ไปดูที่ไหนสมัย,combined_wav/combined_output_114.wav
135,"In less than a month, if the soul is stuck with his mother, it's about eight to 14 years old, right, if it's two months away, then it's almost three months ago, and then it's 14 years to 20 years.",ไม่ถึงถึงเดือนนะถ้าเดือนกว่าเนี่ยดวง วิญญาณเจะต้องติดอยู่กับแม่เค้าเนี่ย ประมาณ 8 ปีจนถึง 14 ปีอยู่ที่อายุของ เด็กด้วยใช่แล้วถ้าเกิดว่าเป็น 2 เดือนไป แล้วเนี่ย 2 เดือนไปแล้วเกือบๆ 3 เดือน แล้วต้องอยู่ที่ 14 ปีจนถึง 20 ปีเพิ่มขึ,combined_wav/combined_output_136.wav
137,I'm going to have to find someone to show me that I'm here and I'm about to be born because if I,ไข้เจ็บอะไรต่างๆนานาเพื่อดึงความสนใจให้ แม่เนี่ยต้องหาใครสักคนนึงเพื่อไปดูว่า ให้เห็นให้เห็นฉันให้ได้ว่าฉันอยู่นี่ แล้วฉันกำลังจะไปเกิดแล้วเพราะถ้าเกิดว่า ฉันไม่ได้รับคำพูดคำอโหสิกรรมจากปากแม่ ฉันไปไม่ได้ออ๋อ 1 ฉันต้องได้รับคำพูดคำ อโหสิกรรมจากแม่ฉันถึงจะไปได้ 2 ฉันถึง แม่ต้องเป็นคนทำบุญให้ฉันเองเท่านั้นไอ้,combined_wav/combined_output_138.wav
146,"And then I saw it as a flashy flash of light, and then I saw it as a man sitting, meditating, and I saw it from here, and he was up here far away, and he was singing.",บ่นแล้วผมก็เห็นเห็นเป็นแสงประกายแบบอแสง สาด้วยเหรอ แแล้วผมก็เห็นเป็นเหมือนคนนั่งสมา นั่งสมาธิผมเห็นตรงเห็นมาจากตรงตรงเนี้ย ท่านอยู่ข้างบนนู่นอยู่ไกลไกล เพลง,combined_wav/combined_output_147.wav
150,"Okay, but I was surprised to see some of these cards, and when they were, there was no sword like this, and I",โอเคโอเคแต่เห็นบางไพ่ผมก็ตกใจเมื่อมัน ไม่มีดาบมีอะไรแบบนี้ผมก็ผมกลัวอันอันอัน นี้คือพี่ของจริง เลยแต่ผมแค่สงสัยว่าไม่สามารถจับไพ่พี่ เกิกได้หว่าไพ่ชุดนี้คือใครก็จับไม่ได้ ใช่ผมเคยลองมาหลายครั้ง,combined_wav/combined_output_151.wav
154,"This child ought to go into the house of his wife, to the house of the beginning and the beginning. Now in the house of the fulfillment, he is in the house of his wife; but when this child appears, I must ask you.",จะมาอยู่ในเรือนของกันกันอืเด็กคนนี้ควร จะไปอยู่ในเรือนของของของการเริ่มต้นและ การงานอือฮึนะครับอยู่ในเรือนแห่งความ สำเร็จอยู่อยู่ในเรือนอยู่ใน เรือนอยู่ในเรือนของแฟนนะครับแต่เมื่อ เด็กใบนี้ปรากฏขึ้นมาเนี่ยผมก็ต้องถามพี่,combined_wav/combined_output_155.wav
162,"If you don't find me today, these things are going to pay you back to your illness, when you get older, or when it's going to happen, it's going to be a disease, and he's going to flow to his son to get his attention again.",ใจถ้าวันนี้พี่ไม่เจอผมสิ่งเหล่าเนี้ยจะ ไปตอบแทนพี่ลภัยไข้เจ็บอือเมื่อวันนึงที่ พี่อายุมากขึ้นหรือมันกำลังจะเกิดขึ้นที่ เเรียกว่าเป็นโรคเวรโรคกรรมอนะครับแล้ว เขาก็จะไหลไปสู่ลูกลูกพี่เพื่อที่จะไป เรียกร้องความสนใจจากลูกพี่อีกทีนึงว่า,combined_wav/combined_output_163.wav
165,"The health I see now in the health care home that I see now is okay, okay, nothing. In the workplace it's",สุขภาพที่ผมเห็นตอนนี้ในเรือนของสุขภาพ ที่ผมเห็นตอนนี้โอเคนะครับไม่มีอะไรนะ ครับในเรือนของการงานมันเหมือนกับว่า เดี๋ยวมันจะต้องมีการเปลี่ยนแปลงโยกย้าย คืองานงานงานของพี่อ่ะคือมันเป็นจ๊อบๆใช่ มั้ยมันมันมันจะมีการเปลี่ยนแปลงมันจะมี การโยกย้ายอะไรอยู่บ่อยๆแล้วณช่วงเวลานี้ ของพี่เนี่ยพี่มีความรู้สึกเบื่อเบื่อ,combined_wav/combined_output_166.wav
172,"People who have difficult kids and make wives and don't do anything, you don't get up when they ask for help, but when I ask for help, there's not a lot of help.",คนที่มีลูกยากมีเมียยากครับแล้วก็ทำคุณคน ไม่ขึ้นอืทำคุณคนไม่ขึ้นเวลาใครมาขอความ ช่วยเฉลอฉันช่วยแต่เวลาฉันขอความช่วย เหลือใครก็ไม่ค่อยมีใครเาอยากจะช่วยช่วย ช่วยฉันคือดวงชะตามันเป็นแบบนี้แล้วก็ ต้องยอมรับไปแต่ว่าถ้าเกิดว่าพี่มีลูกมี เมียอยู่แล้วนั่นหมายความว่าเมียพี่ก็ ต้องเป็นคนดวงแข่งลูกและลูกพี่ก็ต้องเป็น,combined_wav/combined_output_173.wav
180,You're the audience that can see the amazing Tarot pie and come and listen to our show.,เกิดคุณผู้ชมที่สามารถดูไพ่ทาโร่ดูดวงได้ มาแล้วก็ต้องให้มาฟังละครชของเราครับคุณ ผู้ชมครับแต่นี้เป็นละครผี อ่า ฮัลโหลว่ายังไงยายผึ้งหายไปเป็นปีตอนนี้ ตายแล้วฟื้นเหรอมึง พายตอนนี้มึงอยู่ที่ไหนอ่ะเอ่อกูอยู่,combined_wav/combined_output_181.wav
182,"I'm having trouble at home, I'm here, I'm not really here, I can't be with you, I can't be with you, if it's my mom's, I can't live with it, but this is my dad's house and my stepmother's.",คือกูมีปัญหากับที่บ้านน่ะกูอยู่ที่นี่ ไม่ได้แล้วจริงๆนะกูขอไปอยู่กับมึงด้วย ได้มยมึงมันไม่ได้จริงๆถ้ามันเป็นบ้านแม่ กูอ่ะนะกูก็ให้มาอยู่อ่ะแหละแต่นี่มัน เป็นบ้านพ่อกูกับแม่เลี้ยงกูก็เกรงใจเค้า อ่ะ,combined_wav/combined_output_183.wav
189,"You know, the room is so stinky, and I'm sorry I had to bother you, so why are you crying",เพลง หือ มึงห้องเหม็นอับมาก อ่ะขอโทษนะที่กูต้องพามึงมาลำบากด้วยอ่ะ แล้วมึงจะร้องไห้ทำไมเนี่ยก็กูมาแล้ว เอิ่มว่าแต่เกิดอะไรขึ้นวะมึงทำไมถึงอยู่,combined_wav/combined_output_190.wav
199,"Oh, song, why are you singing? Shut up! I told you to shut up!",โอ๊ เพลง มึงจะร้องทำไม วะเงียบกูบอกให้มึงเงียบเดี๋ยวมึงจะ โดน,combined_wav/combined_output_200.wav
211,"And then, after that, the head of the bee was turned upside down at the pie, and suddenly there was a shadow of a woman with long hair on a purple shirt, white in her eyes, full of blood, laughing beside her.",ะหลังจากนั้นศีรษะของผึ้งก็หมุนกลับหัวมา ที่พาย ทันใดนั้นก็มีเงาผู้หญิงผมยาวใส่เสื้อสี ขาวในตาเต็มไปด้วยเลือดส่งเสียงหัวเราะ ข้างหุ,combined_wav/combined_output_212.wav
214,"And the bee's hair was caught in the hand of the pie, and the pie began to breathe, and didn't turn around, and found a spirit of hatred, and suddenly there was a man's voice ringing in the ear of the pie with some equipment.",นั้นแลผมของผึ้งก็ติดมาในมือของพายในตอน นั้นพายเริ่มมีอาการหายใจไม่ออกขยับตัว ไม่ได้หันไปอีกทางก็พบกับวิญญาณผีอาฆาต จ้องจะทำร้าย อยู่ทันใดนั้นเองก็มีเสียงผู้ชายคนหนึ่ง ดังขึ้นในหูของพายพร้อมกับให้อุปกรณ์บาง,combined_wav/combined_output_215.wav
216,"Pie tried to sit back and ponder what was happening and the bee's words made Pie run to the police to report the missing person,",ได้พายพยายามนั่งทบทวนกับกับสิ่งที่เกิด ขึ้นและคำพูดของผึ้งที่พูดออกไปทำให้พาย รีบไปสนตำรวจเพื่อแจ้งความคนหายแต่ไม่ทัน ได้ก้าวขาออกจากบ้านจู่ๆทีวีในห่อพักก็,combined_wav/combined_output_217.wav
